,Manufaturer,Sales,Year,Quarter,Index,Ratio
5857,    Sollers PJSC,,2011,Q1,,
5858,    Ssangyong Motor Co,,2011,Q1,,
5859,    Subaru Corp,,2011,Q1,0.835320599,0.835320599
5860,    Suzuki Motor Corp,,2011,Q1,0.978773837,0.978773837
5861,    Tata Motors Ltd,,2011,Q1,0.625708443,0.625708443
5862,    Tesla Inc,,2011,Q1,-6.47,-6.47
5863,    Tianjin Faw Xiali Automobile Co Ltd,,2011,Q1,0.032264292,0.032264292
5864,    Tofas Turk Otomobil Fabrikasi AS,,2011,Q1,0.459660555,0.459660555
5865,    Toyota Motor Corp,,2011,Q1,1.621532861,1.621532861
5866,    Volkswagen AG,,2011,Q1,25.25543964,25.25543964
5867,    AUDI AG,,2010,Q4,,
5868,    Avtovaz PJSC,,2010,Q4,,
5869,    Bayerische Motoren Werke AG,,2010,Q4,6.778982876,6.778982876
5870,    Brilliance China Automotive Holdings Ltd,,2010,Q4,,
5871,    BYD Co Ltd,,2010,Q4,0.167039946,0.167039946
5872,    Chongqing Changan Automobile Co Ltd,,2010,Q4,0.071485362,0.071485362
5873,    Daihatsu Motor Co Ltd,,2010,Q4,1.285083221,1.285083221
5874,    Daimler AG,,2010,Q4,5.294782283,5.294782283
5875,    Dongfeng Motor Group Co Ltd,,2010,Q4,,
5876,    DRB-Hicom Bhd,,2010,Q4,,
5877,    FAW CAR Co Ltd,,2010,Q4,0.167813046,0.167813046
5878,    Fiat Chrysler Automobiles NV,,2010,Q4,,
5879,    Ford Motor Co,,2010,Q4,1.908496,1.908496
5880,    Ford Otomotiv Sanayi AS,,2010,Q4,0.955526705,0.955526705
5881,    GAZ PJSC,,2010,Q4,,
5882,    Geely Automobile Holdings Ltd,,2010,Q4,,
5883,    General Motors Co,,2010,Q4,3.159914,3.159914
5884,    Great Wall Motor Co Ltd,,2010,Q4,,
5885,    Guangzhou Automobile Group Co Ltd,,2010,Q4,0.098444502,0.098444502
5886,    Honda Motor Co Ltd,,2010,Q4,3.552440993,3.552440993
5887,    Hyundai Motor Co,,2010,Q4,18.3318766,18.3318766
5888,    Kia Motors Corp,,2010,Q4,5.804328693,5.804328693
5889,    Mazda Motor Corp,,2010,Q4,0.53677959,0.53677959
5890,    Mitsubishi Motors Corp,,2010,Q4,0.120182684,0.120182684
5891,    Nissan Motor Co Ltd,,2010,Q4,0.834667474,0.834667474
5892,    Peugeot SA,,2010,Q4,,
5893,    Renault SA,,2010,Q4,,
5894,    SAIC Motor Corp Ltd,,2010,Q4,0.292256026,0.292256026
5895,    Sanyang Motor Co Ltd,,2010,Q4,0.021465952,0.021465952
5896,    Sollers PJSC,,2010,Q4,,
5897,    Ssangyong Motor Co,,2010,Q4,,
5898,    Subaru Corp,,2010,Q4,0.995803667,0.995803667
5899,    Suzuki Motor Corp,,2010,Q4,1.124062224,1.124062224
5900,    Tata Motors Ltd,,2010,Q4,0.57387752,0.57387752
5901,    Tesla Inc,,2010,Q4,-10.0,-10.0
5902,    Tianjin Faw Xiali Automobile Co Ltd,,2010,Q4,0.046816022,0.046816022
5903,    Tofas Turk Otomobil Fabrikasi AS,,2010,Q4,0.512469677,0.512469677
5904,    Toyota Motor Corp,,2010,Q4,1.905059399,1.905059399
5905,    Volkswagen AG,,2010,Q4,22.16718512,22.16718512
5906,    AUDI AG,,2010,Q3,,
5907,    Avtovaz PJSC,,2010,Q3,,
5908,    Bayerische Motoren Werke AG,,2010,Q3,4.514826843,4.514826843
5909,    Brilliance China Automotive Holdings Ltd,,2010,Q3,,
5910,    BYD Co Ltd,,2010,Q3,0.259107737,0.259107737
5911,    Chongqing Changan Automobile Co Ltd,,2010,Q3,0.077272415,0.077272415
5912,    Daihatsu Motor Co Ltd,,2010,Q3,1.229224137,1.229224137
5913,    Daimler AG,,2010,Q3,3.673314685,3.673314685
5914,    Dongfeng Motor Group Co Ltd,,2010,Q3,,
5915,    DRB-Hicom Bhd,,2010,Q3,,
5916,    FAW CAR Co Ltd,,2010,Q3,0.227221947,0.227221947
5917,    Fiat Chrysler Automobiles NV,,2010,Q3,,
5918,    Ford Motor Co,,2010,Q3,2.117715,2.117715
5919,    Ford Otomotiv Sanayi AS,,2010,Q3,0.817365787,0.817365787
5920,    GAZ PJSC,,2010,Q3,,
5921,    Geely Automobile Holdings Ltd,,2010,Q3,,
5922,    General Motors Co,,2010,Q3,-5.682334,-5.682334
5923,    Great Wall Motor Co Ltd,,2010,Q3,,
5924,    Guangzhou Automobile Group Co Ltd,,2010,Q3,0.09886955,0.09886955
5925,    Honda Motor Co Ltd,,2010,Q3,3.802520989,3.802520989
5926,    Hyundai Motor Co,,2010,Q3,,
5927,    Kia Motors Corp,,2010,Q3,,
5928,    Mazda Motor Corp,,2010,Q3,0.76057087,0.76057087
5929,    Mitsubishi Motors Corp,,2010,Q3,0.186014572,0.186014572
5930,    Nissan Motor Co Ltd,,2010,Q3,0.737709076,0.737709076
5931,    Peugeot SA,,2010,Q3,,
5932,    Renault SA,,2010,Q3,,
5933,    SAIC Motor Corp Ltd,,2010,Q3,0.207310754,0.207310754
5934,    Sanyang Motor Co Ltd,,2010,Q3,0.024737857,0.024737857
5935,    Sollers PJSC,,2010,Q3,,
5936,    Ssangyong Motor Co,,2010,Q3,,
5937,    Subaru Corp,,2010,Q3,0.878915159,0.878915159
5938,    Suzuki Motor Corp,,2010,Q3,0.963716023,0.963716023
5939,    Tata Motors Ltd,,2010,Q3,0.457766107,0.457766107
5940,    Tesla Inc,,2010,Q3,-12.912311,-12.912311
5941,    Tianjin Faw Xiali Automobile Co Ltd,,2010,Q3,0.058394227,0.058394227
5942,    Tofas Turk Otomobil Fabrikasi AS,,2010,Q3,0.506660117,0.506660117
5943,    Toyota Motor Corp,,2010,Q3,2.075795151,2.075795151
5944,    Volkswagen AG,,2010,Q3,13.26693588,13.26693588
5945,    AUDI AG,,2010,Q2,,
5946,    Avtovaz PJSC,,2010,Q2,,
5947,    Bayerische Motoren Werke AG,,2010,Q2,2.947191767,2.947191767
5948,    Brilliance China Automotive Holdings Ltd,,2010,Q2,,
5949,    BYD Co Ltd,,2010,Q2,0.334354949,0.334354949
5950,    Chongqing Changan Automobile Co Ltd,,2010,Q2,0.075468704,0.075468704
5951,    Daihatsu Motor Co Ltd,,2010,Q2,1.051321656,1.051321656
5952,    Daimler AG,,2010,Q2,2.140786764,2.140786764
5953,    Dongfeng Motor Group Co Ltd,,2010,Q2,,
5954,    DRB-Hicom Bhd,,2010,Q2,,
5955,    FAW CAR Co Ltd,,2010,Q2,0.219073811,0.219073811
5956,    Fiat Chrysler Automobiles NV,,2010,Q2,,
5957,    Ford Motor Co,,2010,Q2,1.910897,1.910897
5958,    Ford Otomotiv Sanayi AS,,2010,Q2,0.782370285,0.782370285
5959,    GAZ PJSC,,2010,Q2,,
5960,    Geely Automobile Holdings Ltd,,2010,Q2,,
5961,    General Motors Co,,2010,Q2,97.32709,97.32709
5962,    Great Wall Motor Co Ltd,,2010,Q2,,
5963,    Guangzhou Automobile Group Co Ltd,,2010,Q2,0.099341221,0.099341221
5964,    Honda Motor Co Ltd,,2010,Q2,3.225773534,3.225773534
5965,    Hyundai Motor Co,,2010,Q2,,
5966,    Kia Motors Corp,,2010,Q2,,
5967,    Mazda Motor Corp,,2010,Q2,0.558341708,0.558341708
5968,    Mitsubishi Motors Corp,,2010,Q2,-0.091947428,-0.091947428
5969,    Nissan Motor Co Ltd,,2010,Q2,0.531755668,0.531755668
5970,    Peugeot SA,,2010,Q2,,
5971,    Renault SA,,2010,Q2,,
